subject_code,chapter_code,kp_code,type,stem,option_a,option_b,option_c,option_d,option_e,option_f,answer,answer_points,analysis,score,difficulty,exam_year,source_type,source_name,source_license,tags,case_group_id,material,media_urls
SW-JD,JD-01,JD-01-001,single,【Batch6 走查 86a5e7】关于「设备试运转」，下列表述正确的是（　　）。,对系统风量、温湿度、噪声等参数进行调整和测试,管道连接的主要方式，焊接质量直接影响系统安全,用于调整设备标高、水平度并使设备荷载均匀传递到基础上的部件,设备安装完成后进行的运行考核，检验安装质量与设备性能,,,D,,"（Batch6 走查批次 86a5e7）正确答案为 D。设备试运转是指设备安装完成后进行的运行考核，检验安装质量与设备性能。
A. 该表述是对「通风空调系统调试」的描述，并非「设备试运转」的定义。
B. 该表述是对「管道焊接」的描述，并非「设备试运转」的定义。
C. 该表述是对「垫铁」的描述，并非「设备试运转」的定义。",1.0,3,,self,内置原创仿真题库 v1,自有原创内容，无第三方授权,仿真题|单选题|机械设备安装,,,
SW-JZ,JZ-03,JZ-03-001,single,【Batch6 走查 86a5e7】下列各项中，「按主要工种、材料、施工工艺等划分的工程项目」描述的是（　　）。,见证取样送检,分项工程,材料进场验收,检验批,,,B,,"（Batch6 走查批次 86a5e7）正确答案为 B。分项工程是指按主要工种、材料、施工工艺等划分的工程项目。
A. 见证取样送检：其含义为「在监理人员见证下由施工单位取样、送达有资质检测机构检测的制度」，与题干给出的释义不是同一概念。
C. 材料进场验收：其含义为「建筑材料进场时应按规定进行验收，需复验的材料应见证取样送检」，与题干给出的释义不是同一概念。
D. 检验批：其含义为「工程质量验收的最小单位，由一定数量样本组成」，与题干给出的释义不是同一概念。",1.0,3,,self,内置原创仿真题库 v1,自有原创内容，无第三方授权,仿真题|单选题|建筑材料检验,,,
SW-JZ,JZ-01,JZ-01-004,single,【Batch6 走查 86a5e7】关于「混凝土浇筑顺序」，下列表述正确的是（　　）。,为保证基坑及周边环境安全而采取的支护结构措施,将基础底面以下一定深度范围内的软弱土层挖除，换填强度较高的材料,应按由低到高、先竖向后水平的顺序进行浇筑,结构在正常维护条件下，在规定的时间内能够满足预定功能要求的能力,,,C,,"（Batch6 走查批次 86a5e7）正确答案为 C。混凝土浇筑顺序是指应按由低到高、先竖向后水平的顺序进行浇筑。
A. 该表述是对「基坑支护」的描述，并非「混凝土浇筑顺序」的定义。
B. 该表述是对「换填地基」的描述，并非「混凝土浇筑顺序」的定义。
D. 该表述是对「耐久性」的描述，并非「混凝土浇筑顺序」的定义。",1.0,2,,self,内置原创仿真题库 v1,自有原创内容，无第三方授权,仿真题|单选题|主体结构施工,,,
XMGL,XM-02,XM-02-001,single,【Batch6 走查 86a5e7】下列各项中，「以货币形式编制施工项目在计划期内的生产费用与成本降低措施」描述的是（　　）。,已完工作预算费用,成本核算,成本计划,成本控制,,,C,,"（Batch6 走查批次 86a5e7）正确答案为 C。成本计划是指以货币形式编制施工项目在计划期内的生产费用与成本降低措施。
A. 已完工作预算费用：其含义为「已完成工作量与预算单价的乘积，反映已完成工作的预算价值」，与题干给出的释义不是同一概念。
B. 成本核算：其含义为「对施工过程中发生的各项费用进行归集和分配的过程」，与题干给出的释义不是同一概念。
D. 成本控制：其含义为「在施工过程中，对影响成本的各种因素加强管理并采取有效措施」，与题干给出的释义不是同一概念。",1.0,3,,self,内置原创仿真题库 v1,自有原创内容，无第三方授权,仿真题|单选题|成本管理,,,
SW-SZ,SZ-01,SZ-01-002,single,【Batch6 走查 86a5e7】关于「桥梁伸缩缝」，下列表述正确的是（　　）。,为适应桥梁因温度、荷载等引起的变形而设置的构造缝,连接桥梁上部结构与下部结构、传递荷载并适应变形的装置,为保证沟槽边坡稳定和施工安全而采取的支护措施,摊铺温度与碾压工艺是控制沥青路面质量的关键参数,,,A,,"（Batch6 走查批次 86a5e7）正确答案为 A。桥梁伸缩缝是指为适应桥梁因温度、荷载等引起的变形而设置的构造缝。
B. 该表述是对「桥梁支座」的描述，并非「桥梁伸缩缝」的定义。
C. 该表述是对「沟槽开挖支护」的描述，并非「桥梁伸缩缝」的定义。
D. 该表述是对「沥青混合料摊铺温度」的描述，并非「桥梁伸缩缝」的定义。",1.0,3,,self,内置原创仿真题库 v1,自有原创内容，无第三方授权,仿真题|单选题|桥涵与地下工程,,,
JGJJ,JGJJ-02,JGJJ-02-003,single,【Batch6 走查 86a5e7】关于「固定资产」，下列表述正确的是（　　）。,企业在日常活动中形成的、会导致所有者权益增加的、与所有者投入资本无关的经济利益的总流入,企业资产扣除负债后由所有者享有的剩余权益,在成本核算中确定的归集和分配生产费用的具体对象,为生产商品、提供劳务、出租或经营管理而持有的、使用寿命超过一个会计年度的有形资产,,,D,,"（Batch6 走查批次 86a5e7）正确答案为 D。固定资产是指为生产商品、提供劳务、出租或经营管理而持有的、使用寿命超过一个会计年度的有形资产。
A. 该表述是对「收入」的描述，并非「固定资产」的定义。
B. 该表述是对「所有者权益」的描述，并非「固定资产」的定义。
C. 该表述是对「成本核算对象」的描述，并非「固定资产」的定义。",1.0,2,,self,内置原创仿真题库 v1,自有原创内容，无第三方授权,仿真题|单选题|固定资产与折旧,,,
SW-JZ,JZ-01,JZ-01-004,single,【Batch6 走查 86a5e7】关于「后浇带」，下列表述正确的是（　　）。,为保证水泥正常水化、防止混凝土开裂而采取的保湿保温措施,因施工组织需要而在结构中预留的、待后续浇筑的接缝,为减少混凝土收缩和沉降差而在结构中预留、后期浇筑的施工缝,结构在正常维护条件下，在规定的时间内能够满足预定功能要求的能力,,,C,,"（Batch6 走查批次 86a5e7）正确答案为 C。后浇带是指为减少混凝土收缩和沉降差而在结构中预留、后期浇筑的施工缝。
A. 该表述是对「混凝土养护」的描述，并非「后浇带」的定义。
B. 该表述是对「施工缝」的描述，并非「后浇带」的定义。
D. 该表述是对「耐久性」的描述，并非「后浇带」的定义。",1.0,2,,self,内置原创仿真题库 v1,自有原创内容，无第三方授权,仿真题|单选题|主体结构施工,,,
SW-JZ,JZ-03,JZ-03-001,single,【Batch6 走查 86a5e7】下列各项中，「按主要工种、材料、施工工艺等划分的工程项目」描述的是（　　）。,分项工程,分部工程,见证取样送检,检验批,,,A,,"（Batch6 走查批次 86a5e7）正确答案为 A。分项工程是指按主要工种、材料、施工工艺等划分的工程项目。
B. 分部工程：其含义为「按专业性质、建筑部位划分的工程项目」，与题干给出的释义不是同一概念。
C. 见证取样送检：其含义为「在监理人员见证下由施工单位取样、送达有资质检测机构检测的制度」，与题干给出的释义不是同一概念。
D. 检验批：其含义为「工程质量验收的最小单位，由一定数量样本组成」，与题干给出的释义不是同一概念。",1.0,3,,self,内置原创仿真题库 v1,自有原创内容，无第三方授权,仿真题|单选题|建筑材料检验,,,
XMGL,XM-03,XM-03-001,multiple,【Batch6 走查 86a5e7】下列选项中，属于「进度控制」这一考点所涵盖内容的有（　　）。,进度计划,项目管理规划大纲,关键工作,网络计划,,,A|C|D,,"（Batch6 走查批次 86a5e7）正确答案为 A、C、D。
A. 进度计划：属于「进度控制」涵盖的概念。
C. 关键工作：属于「进度控制」涵盖的概念。
D. 网络计划：属于「进度控制」涵盖的概念。
B. 项目管理规划大纲：属于其他章节的内容，不在本考点范围内。",1.0,3,,self,内置原创仿真题库 v1,自有原创内容，无第三方授权,仿真题|多选题|进度控制,,,
JGJJ,JGJJ-02,JGJJ-02-002,single,【Batch6 走查 86a5e7】关于「成本核算对象」，下列表述正确的是（　　）。,流动资产与流动负债的比率，反映企业短期偿债能力,以款项的实际收付作为确认收入和费用的标准,在成本核算中确定的归集和分配生产费用的具体对象,资产、负债、所有者权益、收入、费用和利润,,,C,,"（Batch6 走查批次 86a5e7）正确答案为 C。成本核算对象是指在成本核算中确定的归集和分配生产费用的具体对象。
A. 该表述是对「流动比率」的描述，并非「成本核算对象」的定义。
B. 该表述是对「收付实现制」的描述，并非「成本核算对象」的定义。
D. 该表述是对「会计六大要素」的描述，并非「成本核算对象」的定义。",1.0,2,,self,内置原创仿真题库 v1,自有原创内容，无第三方授权,仿真题|单选题|成本与费用,,,
