subject_code,chapter_code,kp_code,type,stem,option_a,option_b,option_c,option_d,option_e,option_f,answer,answer_points,analysis,score,difficulty,exam_year,source_type,source_name,source_license,tags,case_group_id,material,media_urls
SW-JZ,JZ-02,JZ-02-001,single,【Batch6 走查2 492d2c】关于「冬期施工」，下列表述正确的是（　　）。,当室外日平均气温连续 5 天稳定低于 5 摄氏度时，应采取冬期施工措施,为施工提供作业平台和安全防护的临时结构,施工前与施工过程中进行的定位、放线和标高控制工作,用于施工中材料和人员上下运输的机械设备，如塔吊、施工电梯,,,A,,"（Batch6 走查2 批次 492d2c）正确答案为 A。冬期施工是指当室外日平均气温连续 5 天稳定低于 5 摄氏度时，应采取冬期施工措施。
B. 该表述是对「脚手架」的描述，并非「冬期施工」的定义。
C. 该表述是对「施工测量」的描述，并非「冬期施工」的定义。
D. 该表述是对「垂直运输设备」的描述，并非「冬期施工」的定义。",1.0,2,,self,内置原创仿真题库 v1,自有原创内容，无第三方授权,仿真题|单选题|建筑施工管理,,,
JGJJ,JGJJ-02,JGJJ-02-001,multiple,【Batch6 走查2 492d2c】下列选项中，属于「会计要素与确认」这一考点所涵盖内容的有（　　）。,负债,收入,分部分项工程费,资产,,,A|B|D,,"（Batch6 走查2 批次 492d2c）正确答案为 A、B、D。
A. 负债：属于「会计要素与确认」涵盖的概念。
B. 收入：属于「会计要素与确认」涵盖的概念。
D. 资产：属于「会计要素与确认」涵盖的概念。
C. 分部分项工程费：属于其他章节的内容，不在本考点范围内。",1.0,3,,self,内置原创仿真题库 v1,自有原创内容，无第三方授权,仿真题|多选题|会计要素与确认,,,
FAGUI,FG-02,FG-02-001,multiple,【Batch6 走查2 492d2c】下列选项中，属于「施工许可制度」这一考点所涵盖内容的有（　　）。,宪法效力,恢复施工核验,承诺,施工许可证,,,B|D,,"（Batch6 走查2 批次 492d2c）正确答案为 B、D。
B. 恢复施工核验：属于「施工许可制度」涵盖的概念。
D. 施工许可证：属于「施工许可制度」涵盖的概念。
A. 宪法效力：属于其他章节的内容，不在本考点范围内。
C. 承诺：属于其他章节的内容，不在本考点范围内。",1.0,4,,self,内置原创仿真题库 v1,自有原创内容，无第三方授权,仿真题|多选题|施工许可制度,,,
SW-JZ,JZ-03,JZ-03-001,single,【Batch6 走查2 492d2c】下列各项中，「建筑材料进场时应按规定进行验收，需复验的材料应见证取样送检」描述的是（　　）。,检验批,单位工程,材料进场验收,分项工程,,,C,,"（Batch6 走查2 批次 492d2c）正确答案为 C。材料进场验收是指建筑材料进场时应按规定进行验收，需复验的材料应见证取样送检。
A. 检验批：其含义为「工程质量验收的最小单位，由一定数量样本组成」，与题干给出的释义不是同一概念。
B. 单位工程：其含义为「具备独立施工条件并能形成独立使用功能的建筑物或构筑物」，与题干给出的释义不是同一概念。
D. 分项工程：其含义为「按主要工种、材料、施工工艺等划分的工程项目」，与题干给出的释义不是同一概念。",1.0,2,,self,内置原创仿真题库 v1,自有原创内容，无第三方授权,仿真题|单选题|建筑材料检验,,,
FAGUI,FG-01,FG-01-002,multiple,【Batch6 走查2 492d2c】下列选项中，属于「民事法律基础」这一考点所涵盖内容的有（　　）。,著作权,代理,知识产权,见证取样,,,A|B|C,,"（Batch6 走查2 批次 492d2c）正确答案为 A、B、C。
A. 著作权：属于「民事法律基础」涵盖的概念。
B. 代理：属于「民事法律基础」涵盖的概念。
C. 知识产权：属于「民事法律基础」涵盖的概念。
D. 见证取样：属于其他章节的内容，不在本考点范围内。",1.0,3,,self,内置原创仿真题库 v1,自有原创内容，无第三方授权,仿真题|多选题|民事法律基础,,,
SW-SZ,SZ-01,SZ-01-003,single,【Batch6 走查2 492d2c】关于「管道基础」，下列表述正确的是（　　）。,摊铺温度与碾压工艺是控制沥青路面质量的关键参数,为管道提供支撑、保证管道受力均匀的底部结构,为保证沟槽边坡稳定和施工安全而采取的支护措施,路基压实质量是保证道路整体强度的关键，应分层压实并检测压实度,,,B,,"（Batch6 走查2 批次 492d2c）正确答案为 B。管道基础是指为管道提供支撑、保证管道受力均匀的底部结构。
A. 该表述是对「沥青混合料摊铺温度」的描述，并非「管道基础」的定义。
C. 该表述是对「沟槽开挖支护」的描述，并非「管道基础」的定义。
D. 该表述是对「路基压实」的描述，并非「管道基础」的定义。",1.0,3,,self,内置原创仿真题库 v1,自有原创内容，无第三方授权,仿真题|单选题|管道工程,,,
SW-JZ,JZ-01,JZ-01-002,multiple,【Batch6 走查2 492d2c】下列选项中，属于「建筑材料」这一考点所涵盖内容的有（　　）。,分项工程,钢材力学性能,水泥品种,脚手架,,,B|C,,"（Batch6 走查2 批次 492d2c）正确答案为 B、C。
B. 钢材力学性能：属于「建筑材料」涵盖的概念。
C. 水泥品种：属于「建筑材料」涵盖的概念。
A. 分项工程：属于其他章节的内容，不在本考点范围内。
D. 脚手架：属于其他章节的内容，不在本考点范围内。",1.0,3,,self,内置原创仿真题库 v1,自有原创内容，无第三方授权,仿真题|多选题|建筑材料,,,
SW-JZ,JZ-03,JZ-03-001,multiple,【Batch6 走查2 492d2c】下列选项中，属于「建筑材料检验」这一考点所涵盖内容的有（　　）。,见证取样送检,正常使用极限状态,材料进场验收,分部工程,,,A|C|D,,"（Batch6 走查2 批次 492d2c）正确答案为 A、C、D。
A. 见证取样送检：属于「建筑材料检验」涵盖的概念。
C. 材料进场验收：属于「建筑材料检验」涵盖的概念。
D. 分部工程：属于「建筑材料检验」涵盖的概念。
B. 正常使用极限状态：属于其他章节的内容，不在本考点范围内。",1.0,4,,self,内置原创仿真题库 v1,自有原创内容，无第三方授权,仿真题|多选题|建筑材料检验,,,
JGJJ,JGJJ-01,JGJJ-01-005,multiple,【Batch6 走查2 492d2c】下列选项中，属于「价值工程」这一考点所涵盖内容的有（　　）。,寿命周期成本,索赔,价值系数,功能分析,,,A|C|D,,"（Batch6 走查2 批次 492d2c）正确答案为 A、C、D。
A. 寿命周期成本：属于「价值工程」涵盖的概念。
C. 价值系数：属于「价值工程」涵盖的概念。
D. 功能分析：属于「价值工程」涵盖的概念。
B. 索赔：属于其他章节的内容，不在本考点范围内。",1.0,4,,self,内置原创仿真题库 v1,自有原创内容，无第三方授权,仿真题|多选题|价值工程,,,
SW-SZ,SZ-02,SZ-02-001,single,【Batch6 走查2 492d2c】关于「基坑监测」，下列表述正确的是（　　）。,对基坑及周边环境进行变形观测，及时预警安全风险,工程竣工后应完成验收并按程序移交管理单位,占用城市道路施工应依法办理审批手续,针对雨期、冬期等特殊气候条件采取的施工技术措施,,,A,,"（Batch6 走查2 批次 492d2c）正确答案为 A。基坑监测是指对基坑及周边环境进行变形观测，及时预警安全风险。
B. 该表述是对「市政工程竣工移交」的描述，并非「基坑监测」的定义。
C. 该表述是对「占路施工审批」的描述，并非「基坑监测」的定义。
D. 该表述是对「市政工程季节性施工」的描述，并非「基坑监测」的定义。",1.0,3,,self,内置原创仿真题库 v1,自有原创内容，无第三方授权,仿真题|单选题|市政施工管理,,,
