subject_code,chapter_code,kp_code,type,stem,option_a,option_b,option_c,option_d,option_e,option_f,answer,answer_points,analysis,score,difficulty,exam_year,source_type,source_name,source_license,tags,case_group_id,material,media_urls
SW-SZ,SZ-01,,single,【探针】第 1 题：关于市政公用工程施工管理，下列说法正确的是？,A-1 未经验收即投入使用,B-1 先验收合格再进入下道工序,C-1 口头交底代替书面交底,,,,B,,第 1 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 2 题：关于市政公用工程施工管理，下列说法正确的是？,A-2 未经验收即投入使用,B-2 先验收合格再进入下道工序,C-2 口头交底代替书面交底,,,,B,,第 2 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 3 题：关于市政公用工程施工管理，下列说法正确的是？,A-3 未经验收即投入使用,B-3 先验收合格再进入下道工序,C-3 口头交底代替书面交底,,,,B,,第 3 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 4 题：关于市政公用工程施工管理，下列说法正确的是？,A-4 未经验收即投入使用,B-4 先验收合格再进入下道工序,C-4 口头交底代替书面交底,,,,B,,第 4 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 5 题：关于市政公用工程施工管理，下列说法正确的是？,A-5 未经验收即投入使用,B-5 先验收合格再进入下道工序,C-5 口头交底代替书面交底,,,,B,,第 5 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 6 题：关于市政公用工程施工管理，下列说法正确的是？,A-6 未经验收即投入使用,B-6 先验收合格再进入下道工序,C-6 口头交底代替书面交底,,,,B,,第 6 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 7 题：关于市政公用工程施工管理，下列说法正确的是？,A-7 未经验收即投入使用,B-7 先验收合格再进入下道工序,C-7 口头交底代替书面交底,,,,B,,第 7 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 8 题：关于市政公用工程施工管理，下列说法正确的是？,A-8 未经验收即投入使用,B-8 先验收合格再进入下道工序,C-8 口头交底代替书面交底,,,,B,,第 8 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 9 题：关于市政公用工程施工管理，下列说法正确的是？,A-9 未经验收即投入使用,B-9 先验收合格再进入下道工序,C-9 口头交底代替书面交底,,,,B,,第 9 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 10 题：关于市政公用工程施工管理，下列说法正确的是？,A-10 未经验收即投入使用,B-10 先验收合格再进入下道工序,C-10 口头交底代替书面交底,,,,B,,第 10 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 11 题：关于市政公用工程施工管理，下列说法正确的是？,A-11 未经验收即投入使用,B-11 先验收合格再进入下道工序,C-11 口头交底代替书面交底,,,,B,,第 11 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 12 题：关于市政公用工程施工管理，下列说法正确的是？,A-12 未经验收即投入使用,B-12 先验收合格再进入下道工序,C-12 口头交底代替书面交底,,,,B,,第 12 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 13 题：关于市政公用工程施工管理，下列说法正确的是？,A-13 未经验收即投入使用,B-13 先验收合格再进入下道工序,C-13 口头交底代替书面交底,,,,B,,第 13 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 14 题：关于市政公用工程施工管理，下列说法正确的是？,A-14 未经验收即投入使用,B-14 先验收合格再进入下道工序,C-14 口头交底代替书面交底,,,,B,,第 14 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 15 题：关于市政公用工程施工管理，下列说法正确的是？,A-15 未经验收即投入使用,B-15 先验收合格再进入下道工序,C-15 口头交底代替书面交底,,,,B,,第 15 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 16 题：关于市政公用工程施工管理，下列说法正确的是？,A-16 未经验收即投入使用,B-16 先验收合格再进入下道工序,C-16 口头交底代替书面交底,,,,B,,第 16 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 17 题：关于市政公用工程施工管理，下列说法正确的是？,A-17 未经验收即投入使用,B-17 先验收合格再进入下道工序,C-17 口头交底代替书面交底,,,,B,,第 17 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 18 题：关于市政公用工程施工管理，下列说法正确的是？,A-18 未经验收即投入使用,B-18 先验收合格再进入下道工序,C-18 口头交底代替书面交底,,,,B,,第 18 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 19 题：关于市政公用工程施工管理，下列说法正确的是？,A-19 未经验收即投入使用,B-19 先验收合格再进入下道工序,C-19 口头交底代替书面交底,,,,B,,第 19 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 20 题：关于市政公用工程施工管理，下列说法正确的是？,A-20 未经验收即投入使用,B-20 先验收合格再进入下道工序,C-20 口头交底代替书面交底,,,,B,,第 20 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 21 题：关于市政公用工程施工管理，下列说法正确的是？,A-21 未经验收即投入使用,B-21 先验收合格再进入下道工序,C-21 口头交底代替书面交底,,,,B,,第 21 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
